City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Alstead,"1,931",3,0,2,0,1,1,0,1,0,0
Alton,"5,339",10,2,5,0,3,34,8,24,2,0
Amherst,"11,344",3,0,2,1,0,108,12,95,1,1
Antrim,"2,702",3,1,1,0,1,21,4,16,1,0
Ashland,"2,053",1,0,0,0,1,40,5,35,0,0
Atkinson,"7,037",0,0,0,0,0,29,13,15,1,0
Auburn,"5,608",2,0,0,0,2,37,7,27,3,0
Barnstead,"4,668",3,0,3,0,0,20,5,13,2,0
Barrington,"9,263",6,0,5,0,1,36,11,20,5,0
Bartlett,"2,809",2,0,1,1,0,23,6,16,1,0
Bath,"1,093",0,0,0,0,0,1,0,0,1,0
Bedford,"22,887",12,0,5,3,4,174,11,161,2,1
Belmont,"7,293",19,0,3,0,16,128,17,104,7,0
Bennington,"1,512",1,0,1,0,0,5,0,4,1,1
Berlin,"10,230",22,0,8,4,10,110,13,94,3,4
Bethlehem,"2,569",5,0,4,0,1,20,5,13,2,0
Boscawen,"4,095",8,0,0,0,8,32,3,25,4,1
Bow,"8,004",5,0,0,1,4,30,3,20,7,1
Bradford,"1,710",0,0,0,0,0,19,0,16,3,1
Bristol,"3,057",6,1,3,1,1,49,7,39,3,0
Brookline,"5,461",0,0,0,0,0,21,2,17,2,0
Campton,"3,305",5,0,4,0,1,36,2,32,2,0
Candia,"3,945",1,0,0,0,1,32,2,30,0,0
Canterbury,"2,468",2,0,0,0,2,26,3,21,2,2
Carroll,740,0,0,0,0,0,16,1,12,3,0
Center Harbor,"1,099",0,0,0,0,0,8,1,6,1,0
Charlestown,"4,998",8,0,0,0,8,18,5,13,0,1
Chester,"5,295",9,0,3,0,6,28,4,23,1,2
Chichester,"2,709",2,0,1,0,1,27,4,23,0,0
Colebrook,"2,114",1,0,0,0,1,28,14,13,1,0
Concord,"43,509",65,4,10,25,26,805,49,710,46,2
Conway,"10,287",22,0,15,1,6,222,21,194,7,0
Cornish,"1,623",0,0,0,0,0,7,2,5,0,1
Dalton,868,0,0,0,0,0,0,0,0,0,0
Danville,"4,584",0,0,0,0,0,11,3,5,3,0
Deerfield,"4,562",1,0,1,0,0,17,6,11,0,0
Deering,"1,967",2,0,0,0,2,20,2,15,3,0
Derry,"33,672",33,1,18,3,11,279,22,247,10,5
Dover,"31,950",25,0,8,6,11,347,38,295,14,1
Dublin,"1,538",1,0,0,0,1,7,0,7,0,0
Dunbarton,"2,870",3,0,2,0,1,21,1,19,1,0
Durham,"16,810",6,0,2,2,2,42,10,31,1,1
East Kingston,"2,430",1,0,0,0,1,8,0,7,1,0
Effingham,"1,480",1,0,1,0,0,1,0,1,0,0
Enfield,"4,563",5,0,2,0,3,27,3,24,0,0
Epping,"7,117",3,0,2,0,1,74,2,68,4,0
Epsom,"4,777",3,0,2,0,1,26,3,23,0,0
Exeter,"15,425",28,0,9,0,19,99,11,85,3,0
Farmington,"6,932",8,0,5,0,3,103,26,65,12,2
Fitzwilliam,"2,373",0,0,0,0,0,12,3,7,2,0
Franconia,"1,111",1,0,0,0,1,14,0,13,1,1
Freedom,"1,562",0,0,0,0,0,3,0,3,0,0
Fremont,"4,803",0,0,0,0,0,37,3,32,2,1
Gilford,"7,197",5,0,2,0,3,111,16,90,5,0
Gilmanton,"3,754",7,0,4,0,3,23,5,18,0,0
Goffstown,"18,163",18,1,9,4,4,114,13,98,3,0
Gorham,"2,579",3,0,1,0,2,20,2,18,0,0
Grantham,"2,946",0,0,0,0,0,14,4,10,0,0
Greenland,"4,195",0,0,0,0,0,16,2,12,2,0
Hampstead,"8,662",7,0,3,0,4,48,1,45,2,0
Hampton,"15,616",31,1,3,4,23,138,13,114,11,2
Hampton Falls,"2,385",2,0,2,0,0,18,2,16,0,0
Hancock,"1,658",1,0,0,0,1,2,0,2,0,0
Hanover,"11,531",7,0,4,0,3,95,12,81,2,2
Haverhill,"4,568",16,0,5,1,10,71,9,57,5,1
Henniker,"5,009",12,0,5,0,7,45,5,35,5,0
Hillsborough,"5,990",12,1,5,0,6,56,13,39,4,1
Hinsdale,"3,888",5,2,1,0,2,94,11,80,3,0
Holderness,"2,109",0,0,0,0,0,14,2,11,1,0
Hollis,"7,976",5,1,3,0,1,29,7,19,3,1
Hooksett,"14,554",12,2,3,4,3,162,13,139,10,1
Hopkinton,"5,759",1,0,1,0,0,20,2,16,2,0
Hudson,"25,695",19,0,3,2,14,210,27,174,9,1
Jackson,856,0,0,0,0,0,6,1,5,0,0
Keene,"22,999",42,0,17,12,13,488,31,434,23,0
Kensington,"2,118",1,0,1,0,0,3,0,2,1,0
Kingston,"6,362",5,0,2,0,3,11,2,7,2,0
Laconia,"16,534",37,1,17,4,15,535,32,461,42,1
Lancaster,"3,219",5,0,0,0,5,29,7,22,0,2
Lebanon,"13,661",16,0,8,2,6,299,21,265,13,1
Lee,"4,494",1,0,1,0,0,17,1,14,2,1
Lincoln,"1,775",1,0,0,0,1,27,6,21,0,1
Lisbon,"1,583",0,0,0,0,0,11,3,6,2,0
Litchfield,"8,660",3,0,1,0,2,31,3,23,5,1
Littleton,"5,889",16,1,7,4,4,106,16,85,5,2
Londonderry,"26,567",20,1,6,2,11,173,16,139,18,0
Loudon,"5,660",4,1,1,1,1,43,4,31,8,0
Lyndeborough,"1,740",0,0,0,0,0,6,1,4,1,0
Madbury,"1,868",0,0,0,0,0,2,0,2,0,0
Madison,"2,613",3,1,0,0,2,28,3,25,0,0
Manchester,"112,895",678,6,62,133,477,"2,678",299,"2,225",154,14
Marlborough,"2,068",1,0,0,0,1,7,1,6,0,0
Mason,"1,441",1,0,0,0,1,5,1,4,0,0
Meredith,"6,424",16,0,8,0,8,107,23,76,8,0
Merrimack,"26,028",4,0,0,2,2,207,21,177,9,0
Middleton,"1,827",0,0,0,0,0,17,3,12,2,0
Milford,"16,121",11,0,6,1,4,78,5,71,2,0
Milton,"4,652",7,0,2,0,5,42,7,27,8,1
Mont Vernon,"2,603",2,0,1,0,1,5,0,5,0,0
Moultonborough,"4,174",0,0,0,0,0,26,4,22,0,0
Nashua,"89,586",129,1,69,20,39,"1,151",81,"1,016",54,10
New Boston,"5,856",2,0,1,0,1,15,1,13,1,0
Newbury,"2,245",0,0,0,0,0,15,3,11,1,0
New Castle,982,0,0,0,0,0,1,0,1,0,0
New Durham,"2,704",3,0,0,0,3,24,3,19,2,2
Newfields,"1,735",1,0,0,0,1,14,0,14,0,0
New Hampton,"2,216",4,0,2,0,2,12,2,7,3,0
Newington,810,5,0,0,1,4,113,2,110,1,0
New Ipswich,"5,408",3,0,2,0,1,20,4,14,2,0
Newmarket,"9,161",8,0,2,0,6,43,5,37,1,1
Newport,"6,348",6,1,0,2,3,94,8,72,14,1
Northfield,"4,940",7,0,2,1,4,67,15,46,6,0
North Hampton,"4,512",3,0,2,0,1,35,6,26,3,2
Northumberland,"2,111",4,0,1,0,3,24,2,21,1,0
Northwood,"4,302",2,0,0,0,2,31,3,26,2,0
Nottingham,"5,149",3,0,0,0,3,7,0,7,0,0
Orford,"1,302",1,0,0,0,1,3,0,3,0,0
Ossipee,"4,401",5,0,3,1,1,35,4,27,4,2
Pelham,"14,198",10,0,4,1,5,94,8,83,3,2
Pembroke,"7,240",12,0,9,0,3,59,10,45,4,0
Peterborough,"6,669",11,0,4,1,6,48,4,42,2,0
Pittsburg,807,0,0,0,0,0,5,0,4,1,0
Pittsfield,"4,142",15,0,5,1,9,21,3,16,2,0
Plainfield,"2,381",1,0,0,0,1,12,0,12,0,0
Plaistow,"7,734",4,0,0,0,4,97,5,87,5,1
Plymouth,"6,755",10,0,5,0,5,76,7,65,4,1
Portsmouth,"21,951",28,0,10,2,16,359,28,309,22,1
Raymond,"10,475",14,0,8,0,6,114,5,101,8,0
Rindge,"6,308",12,0,5,0,7,60,8,48,4,14
Rochester,"31,527",94,0,21,11,62,976,111,828,37,3
Rollinsford,"2,591",3,0,1,1,1,17,5,11,1,1
Rye,"5,464",0,0,0,0,0,42,2,35,5,0
Salem,"29,612",25,0,5,13,7,448,25,403,20,2
Sanbornton,"2,975",4,0,0,0,4,24,2,20,2,1
Sandown,"6,501",2,1,0,0,1,20,7,11,2,0
Sandwich,"1,358",0,0,0,0,0,13,2,11,0,0
Seabrook,"8,880",4,0,1,1,2,137,16,116,5,0
Somersworth,"11,979",15,0,8,5,2,353,25,317,11,2
South Hampton,829,0,0,0,0,0,5,2,3,0,0
Springfield,"1,342",0,0,0,0,0,0,0,0,0,0
Strafford,"4,205",0,0,0,0,0,7,2,4,1,0
Stratham,"7,479",2,0,0,0,2,44,1,41,2,0
Sugar Hill,579,0,0,0,0,0,1,0,0,1,0
Sunapee,"3,489",0,0,0,0,0,19,1,16,2,1
Tamworth,"3,077",2,0,0,1,1,14,0,12,2,0
Thornton,"2,513",1,0,0,1,0,9,3,6,0,0
Tilton,"3,557",12,0,3,2,7,200,8,184,8,1
Troy,"2,091",2,0,0,0,2,13,1,12,0,0
Tuftonboro,"2,414",1,0,0,0,1,12,5,6,1,0
Wakefield,"5,789",13,0,7,0,6,34,7,24,3,1
Warner,"2,953",1,0,0,0,1,34,4,28,2,0
Washington,"1,104",0,0,0,0,0,2,1,1,0,0
Waterville Valley,243,1,0,1,0,0,12,0,12,0,0
Weare,"9,111",4,0,2,0,2,26,11,12,3,0
Webster,"1,962",3,0,1,0,2,24,5,14,5,0
Whitefield,"2,201",4,0,0,1,3,7,1,6,0,0
Wilton,"3,768",6,0,5,0,1,20,7,13,0,0
Winchester,"4,192",8,0,4,1,3,34,6,23,5,2
Windham,"14,876",5,0,2,0,3,59,8,51,0,0
Wolfeboro,"6,403",4,0,1,0,3,34,4,26,4,0
Woodstock,"1,369",0,0,0,0,0,9,4,4,1,1
